Model,Gorivo ,KML grad,KML autoput
FIAT 500,benzin,11.90392,14.02962
FIAT 500 Abarth,benzin,10.20336,13.60448
FIAT 500 Abarth,benzin,11.90392,14.02962
FIAT 500L,benzin,9.35308,12.7542
FORD Escape,benzin,8.92794,12.32906
FORD Explorer,benzin,8.07766,11.47878
FORD Explorer,benzin,7.65252,10.6285
FORD Explorer,benzin,7.22738,10.20336
FORD Explorer,benzin,6.80224,9.35308
FORD Explorer,benzin,6.80224,9.35308
FORD Flex,benzin,6.80224,9.77822
FORD Flex,benzin,6.3771,8.92794
FORD Flex,benzin,6.80224,9.35308
FORD GT,benzin,4.67654,7.65252
FORD Mustang,benzin,6.3771,10.20336
FORD Mustang,benzin,6.80224,10.6285
FORD Mustang Bullitt,benzin,6.3771,10.20336
FORD Mustang Convertible,benzin,6.3771,10.20336
FORD Ranger,benzin,8.92794,11.05364
FORD Ranger,benzin,8.07766,7.65252
FORD Ranger,benzin,8.5028,10.20336
FORD Taurus,benzin,7.65252,11.05364
FORD Taurus,benzin,6.80224,10.20336
FORD Taurus,benzin,7.22738,10.20336
GENESIS G70,benzin,7.65252,11.90392
GENESIS G70,benzin,9.35308,12.7542
GENESIS G70,benzin,8.92794,11.90392
GENESIS G70,benzin,7.22738,11.05364
GENESIS G70,benzin,7.22738,10.6285
GENESIS G80,benzin,7.22738,10.6285
GENESIS G80,benzin,7.22738,10.20336
GENESIS G90,benzin,7.22738,10.20336
GENESIS G90,benzin,7.22738,10.20336
GMC Canyon,dizel,8.5028,12.7542
GMC Canyon,dizel,8.07766,11.90392
GMC Sierra 10,benzin,6.3771,8.5028
GMC Sierra 10 AT4,benzin,6.3771,8.07766
GMC Sierra 15 LTD,benzin,6.3771,9.35308
GMC Sierra 15 LTD,benzin,6.3771,8.92794
GMC Terrain,dizel,11.90392,16.58046
GMC Terrain,dizel,11.90392,16.15532
GMC Yukon 1500,benzin,6.3771,9.35308
GMC Yukon 1500,benzin,6.3771,8.92794
GMC Yukon 1500,benzin,5.95196,9.77822
GMC Yukon 1500,benzin,5.95196,9.35308
GMC Yukon 1500 XL,benzin,6.3771,9.35308
GMC Yukon 1500 XL,benzin,5.95196,8.92794
GMC Yukon 1500 XL,benzin,5.95196,9.77822
GMC Yukon 1500 XL,benzin,5.95196,8.5028
HONDA Civic 2Dr,benzin,13.17934,17.0056
HONDA Civic 2Dr,benzin,11.90392,16.15532
HONDA Civic 2Dr,benzin,12.7542,15.73018
HONDA Civic 2Dr,benzin,12.7542,16.15532
HONDA Civic 2Dr,benzin,10.6285,14.8799
HONDA Civic 2Dr,benzin,12.32906,15.30504
HONDA Civic 4Dr,benzin,13.60448,17.85588
HONDA Civic 4Dr,benzin,11.90392,16.15532
HONDA Civic 4Dr,benzin,12.7542,16.15532
HONDA Civic 4Dr,benzin,12.7542,16.15532
HONDA Civic 4Dr,benzin,10.6285,15.30504
HONDA Civic 4Dr,benzin,12.32906,15.73018
HONDA Civic 5Dr,benzin,13.17934,17.0056
HONDA Civic 5Dr,benzin,12.32906,16.15532
HONDA Civic 5Dr,benzin,12.7542,15.30504
HONDA Civic 5Dr,benzin,9.35308,11.90392
HONDA Fit,benzin,12.32906,15.30504
HONDA Fit,benzin,12.32906,15.30504
HONDA Odyssey,benzin,8.07766,11.90392
HONDA Odyssey,benzin,8.07766,11.90392
HONDA Passport,benzin,8.5028,10.6285
HONDA Passport,benzin,8.07766,10.20336
HONDA Pilot,benzin,8.07766,11.47878
HONDA Pilot,benzin,7.65252,11.05364
HONDA Pilot,benzin,8.5028,11.47878
HONDA Pilot,benzin,8.07766,11.05364
HONDA Ridgeline,benzin,8.07766,11.05364
HONDA Ridgeline,benzin,7.65252,10.6285
HYUNDAI Accent,benzin,11.90392,15.73018
HYUNDAI Accent,benzin,11.90392,16.15532
HYUNDAI Elantra,benzin,13.60448,17.0056
HYUNDAI Elantra,benzin,11.05364,14.02962
HYUNDAI Elantra,benzin,9.35308,12.7542
HYUNDAI Santa Fe XL,benzin,7.65252,10.6285
HYUNDAI Santa Fe XL,benzin,7.65252,10.20336
HYUNDAI Santa Fe XL Ultimate,benzin,7.65252,9.77822
HYUNDAI Santa Fe XL Ultimate,benzin,7.22738,9.35308
HYUNDAI Veloster N,benzin,9.35308,11.90392
INFINITI Q50,benzin,9.77822,12.7542
INFINITI Q50,benzin,9.35308,11.90392
INFINITI Q50,benzin,8.5028,12.32906
INFINITI Q50,benzin,8.07766,11.47878
INFINITI Q50 Red Sport,benzin,8.5028,11.05364
INFINITI Q50 Red Sport,benzin,8.07766,11.05364
INFINITI Q60,benzin,9.35308,12.7542
INFINITI Q60,benzin,8.92794,11.90392
INFINITI Q60,benzin,8.07766,11.90392
INFINITI Q60,benzin,8.07766,11.47878
INFINITI Q60 Red Sport,benzin,8.5028,11.47878
INFINITI Q60 Red Sport,benzin,8.07766,11.05364
INFINITI Q70,benzin,7.65252,10.6285
INFINITI Q70,benzin,7.65252,10.20336
INFINITI Q70,benzin,6.80224,10.20336
INFINITI Q70,benzin,6.80224,9.77822
INFINITI QX30,benzin,10.20336,14.02962
INFINITI QX30,benzin,8.92794,12.7542
INFINITI QX80,benzin,5.95196,8.5028
INFINITI QX80,benzin,5.52682,8.07766
JAGUAR F-Pace,benzin,6.80224,8.92794
JAGUAR F-Type R Convertible,benzin,6.3771,9.77822
JAGUAR F-Type R Coupe,benzin,6.3771,9.77822
JAGUAR F-Type SVR Convertible GEN2,benzin,6.80224,10.20336
JAGUAR F-Type SVR Coupe GEN2,benzin,6.80224,10.20336
JAGUAR XE,benzin,6.80224,9.35308
JAGUAR XJ,benzin,6.3771,9.77822
JAGUAR XJL,benzin,6.3771,9.77822
KIA Cadenza,benzin,8.5028,11.47878
KIA K900,benzin,7.65252,10.6285
KIA Optima Hybrid,benzin,16.58046,19.1313
KIA Rio,benzin,12.32906,15.73018
